Id,Start,Name,Impact,Currency
ace711e7-1290-4a94-85b8-a00af0390650,09/13/2018 12:30:00,ECB Press Conference,HIGH,EUR
ccf74687-8048-4143-8fb8-87f0d83d83b9,09/13/2018 12:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
e65c6601-66bb-4e92-983f-31c27188cae9,09/14/2018 12:30:00,Retail Sales Control Group,HIGH,USD
705bf581-a4a9-48d3-bb4f-51ccd64a1b3c,09/14/2018 12:30:00,Retail Sales ex Autos (MoM),HIGH,USD
1e4e7122-7525-4cfb-94cb-f76c7622f793,09/17/2018 09:00:00,Core Harmonized Index of Consumer Prices (YoY),HIGH,EUR
b1221c2d-9bac-4f4a-a769-212160735de2,09/17/2018 09:00:00,Harmonized Index of Consumer Prices (YoY),HIGH,EUR
3cefc33c-aabc-4d4a-afe5-b22f0ffad334,09/18/2018 07:15:00,ECB's President Draghi speech,HIGH,EUR
3b33e7ee-dc6c-48ce-8e2f-03a7e904352a,09/19/2018 13:00:00,ECB's President Draghi speech,HIGH,EUR
1fe0d7ec-a2a5-4d18-9d9d-5363be947750,09/24/2018 13:00:00,ECB's President Draghi speech,HIGH,EUR
0ece3532-81b2-462a-8ec8-fc11f09cea3b,09/26/2018 18:00:00,Fed Interest Rate Decision,HIGH,USD
a5b83da2-5e72-4a8c-8232-0f249bb3b824,09/26/2018 18:00:00,Fed Monetary Policy Statement,HIGH,USD
c622bc2a-be41-4e6c-8bb0-1a66f11256f1,09/26/2018 18:00:00,FOMC Economic Projections,HIGH,USD
789f9165-b51b-4a30-8431-c53aaff0f0c0,09/26/2018 18:30:00,FOMC Press Conference,HIGH,USD
3efca71f-e54b-4703-92e7-30de549526b2,09/27/2018 12:30:00,Core Personal Consumption Expenditures (QoQ),HIGH,USD
781c28f1-ff7a-45c9-8b8c-52456721245b,09/27/2018 12:30:00,Gross Domestic Product Annualized,HIGH,USD
284284a1-32f3-44f0-a106-697b9ed28c4a,09/27/2018 12:30:00,Nondefense Capital Goods Orders ex Aircraft,HIGH,USD
f2bb6bd6-e53f-4bc7-ae4f-618bd4206352,09/27/2018 13:30:00,ECB's President Draghi speech,HIGH,EUR
d3477d1c-7b5f-48a7-a03e-60bbf94372b9,09/27/2018 20:30:00,Fed's Chair Powell speech,HIGH,USD
a6362809-f24e-4850-9f34-617979a493d1,09/28/2018 09:00:00,Core Harmonized Index of Consumer Prices (YoY),HIGH,EUR
63d63ebd-e989-46cb-ba04-6a0ab0491edf,09/28/2018 09:00:00,Harmonized Index of Consumer Prices (YoY),HIGH,EUR
106dcc3d-342d-41cb-8cac-48b4265cb097,09/28/2018 12:30:00,Core Personal Consumption Expenditures - Price Index (YoY),HIGH,USD
af379e49-6281-4fb2-9555-612db10a5400,10/01/2018 14:00:00,ISM Manufacturing PMI,HIGH,USD
d552ce3c-3e87-4075-8a14-0066b0c4969a,10/02/2018 16:45:00,Fed's Chair Powell speech,HIGH,USD
566815cf-2fb9-4e84-af9a-d2168828fd76,10/03/2018 20:00:00,Fed's Chair Powell speech,HIGH,USD
291d035a-aef6-4cca-af18-5cffbaeade26,10/05/2018 12:30:00,Average Hourly Earnings (YoY),HIGH,USD
932c7eac-125c-4e00-86d9-a9096f932ad3,10/05/2018 12:30:00,Nonfarm Payrolls,HIGH,USD
e4cf81bf-22d8-4a98-965e-3d466f1ccdb1,10/08/2018 00:00:00,Columbus Day,NONE,USD
3663dc62-44b4-4d1d-b1d9-27786e4c2800,10/11/2018 11:30:00,ECB Monetary Policy Meeting Accounts,HIGH,EUR
831316b5-9a35-46e0-8202-0faf9139e861,10/11/2018 12:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
1eb0412f-15ce-4bc4-abfa-051c48181954,10/15/2018 12:30:00,Retail Sales Control Group,HIGH,USD
a175a4e2-3e6a-48a5-8fee-213f16219b81,10/15/2018 12:30:00,Retail Sales ex Autos (MoM),HIGH,USD
9441412f-656c-4dc4-a975-29f9bde45547,10/17/2018 00:00:00,Brexit Summit,HIGH,EUR
33b960f2-1722-42e7-b55d-d185f8bc2bf0,10/17/2018 09:00:00,Core Harmonized Index of Consumer Prices (YoY),HIGH,EUR
89a42cd4-94cd-4a4a-9c2e-cda74860fb80,10/17/2018 09:00:00,Harmonized Index of Consumer Prices (YoY),HIGH,EUR
18a327bd-8d2a-4423-a418-70655cbeaca2,10/17/2018 18:00:00,FOMC Minutes,HIGH,USD
